professionalpartner,teamID,season,season_string,episode,ppseasonexp,ppepisodexp,score,judgexp,team_season,time,team
EdytaŚliwińska,E.E,1,01,1,0,0,6,0,01E.E,1.0833334,1
EdytaŚliwińska,E.E,1,01,2,0,1,4.666666666666667,1,01E.E,1.1666666,1
EdytaŚliwińska,E.E,1,01,3,0,2,4.333333333333333,2,01E.E,1.25,1
AshlyDelGrosso,J.A,1,01,1,0,0,6.666666666666667,0,01J.A,1.0833334,2
AshlyDelGrosso,J.A,1,01,2,0,1,7,1,01J.A,1.1666666,2
AshlyDelGrosso,J.A,1,01,3,0,2,7.333333333333333,2,01J.A,1.25,2
AshlyDelGrosso,J.A,1,01,4,0,3,6.666666666666667,3,01J.A,1.3333334,2
AshlyDelGrosso,J.A,1,01,5,0,4,7.5,4,01J.A,1.4166666,2
CharlotteJørgensen,J.C,1,01,1,0,0,6.666666666666667,0,01J.C,1.0833334,3
CharlotteJørgensen,J.C,1,01,2,0,1,8.666666666666666,1,01J.C,1.1666666,3
CharlotteJørgensen,J.C,1,01,3,0,2,8,2,01J.C,1.25,3
CharlotteJørgensen,J.C,1,01,4,0,3,7,3,01J.C,1.3333334,3
CharlotteJørgensen,J.C,1,01,5,0,4,9,4,01J.C,1.4166666,3
CharlotteJørgensen,J.C,1,01,6,0,5,9,5,01J.C,1.5,3
CharlotteJørgensen,J.C,1,01,7,0,6,8.555555555555555,6,01J.C,1.5833334,3
AlecMazo,K.A,1,01,1,0,0,4.333333333333333,0,01K.A,1.0833334,4
AlecMazo,K.A,1,01,2,0,1,5.666666666666667,1,01K.A,1.1666666,4
AlecMazo,K.A,1,01,3,0,2,7,2,01K.A,1.25,4
AlecMazo,K.A,1,01,4,0,3,8.666666666666666,3,01K.A,1.3333334,4
AlecMazo,K.A,1,01,5,0,4,7.833333333333333,4,01K.A,1.4166666,4
AlecMazo,K.A,1,01,6,0,5,9.166666666666666,5,01K.A,1.5,4
AlecMazo,K.A,1,01,7,0,6,8.222222222222221,6,01K.A,1.5833334,4
JonathanRoberts,R.J,1,01,1,0,0,6.666666666666667,0,01R.J,1.0833334,5
JonathanRoberts,R.J,1,01,2,0,1,8,1,01R.J,1.1666666,5
JonathanRoberts,R.J,1,01,3,0,2,8.666666666666666,2,01R.J,1.25,5
