firm,year,prod,area,labor,fert
1,1990,7.8699999,2.5,160,207.5
1,1991,7.1799998,2.5,138,295.5
1,1992,8.9200001,2.5,140,362.5
1,1993,7.3099999,2.5,127,338
1,1994,7.54,2.5,145,337.5
1,1995,4.5100002,2.5,123,207.2
1,1996,4.3699999,2.25,123,345
1,1997,7.27,2.1500001,87,222.8
2,1990,10.35,3.8,184,303.5
2,1991,10.21,3.8,151,206
2,1992,13.29,3.8,185,374.5
2,1993,18.58,3.8,262,421
2,1994,17.07,3.8,174,595.70001
2,1995,16.610001,4.25,244,234.8
2,1996,12.28,4.25,159,479
2,1997,14.2,3.75,133,170
3,1990,9.9799995,3.4000001,170,252
3,1991,10.44,4.3000002,148,444
3,1992,10.4,4.3000002,198,283.5
3,1993,8.9200001,4.3000002,189,287
3,1994,7.3600001,4.3000002,214,294
3,1995,10.17,2.8,119,361.79999
3,1996,5.4299998,4.3000002,163,250.5
3,1997,10.95,3.55,147,246.5
4,1990,4.8299999,1.4,68,88
4,1991,3.1300001,1.4,88,52.5
4,1992,5.8400002,1.4,53,52.5
4,1993,4.8800001,1.4,75,71
4,1994,4.46,1.4,74,69.800003
4,1995,4.3699999,1.4,85,116.5
4,1996,4.1399999,1.4,64,134.2
4,1997,3.9100001,1.4,53,104.7
5,1990,8.7399998,3.5999999,130,149.8
5,1991,9.1899996,3.5999999,152,204
5,1992,9.8400002,3.5999999,152,198.8
5,1993,10.95,3.5999999,163,218
5,1994,8,3.5999999,144,221.3
5,1995,8.9200001,3.4000001,180,146.60001
5,1996,9.1999998,3.4000001,148,262.79999
5,1997,11.04,3.0999999,224,164.3
6,1990,1.84,.5,34,21
6,1991,.97000003,.5,17,21
6,1992,1.7,.5,25,47.5
6,1993,1.24,.5,30,31
6,1994,1.5599999,.5,37,28.5
6,1995,1.47,.5,18,35.700001
6,1996,1.01,.5,15,44.799999
6,1997,1.84,.5,39,59.799999
7,1990,7.3600001,1.75,91,243
7,1991,7.8200002,1.75,88,218
7,1992,7.5900002,1.75,82,309
7,1993,7.6399999,1.75,83,178
7,1994,6.5799999,1.75,93,240
7,1995,13.06,3.75,211,555
7,1996,9.9399996,3.75,141,415
7,1997,8.2799997,1.75,87,310
8,1990,6.6700001,1.7,114,154.60001
8,1991,5.8400002,1.7,83,158.3
8,1992,4.5500002,1.7,102,191.8
8,1993,6.3499999,1.7,114,195
8,1994,5.8400002,1.7,100,172.5
8,1995,4.9099998,1.7,89,299.5
8,1996,4.2800002,1.7,144,210.2
8,1997,6.6199999,1.7,100,205.5
9,1990,9.1999998,3,211,166.39999
9,1991,9.8900003,3,160,178.5
9,1992,9.8900003,3,141,253
9,1993,8.9700003,3,211,183
9,1994,8.4200001,3,136,210
9,1995,7.8200002,3,200,189
9,1996,7.8200002,3,97,231.8
9,1997,8.6499996,3,91,172
10,1990,9.29,3.4000001,193,253.8
10,1991,8.5600004,3.4000001,152,318.5
10,1992,12.19,3.4000001,175,283
10,1993,11.22,3.1500001,147,253
10,1994,5.6999998,2.7,141,283.5
10,1995,10.58,2.7,132,290.10001
10,1996,8.6000004,2.7,180,331
10,1997,12.56,2.7,209,320.5
11,1990,.82999998,.55000001,36,40.200001
11,1991,1.1,.55000001,49,71.800003
11,1992,1.38,.60000002,33,55.5
11,1993,3.04,1.55,58,43
11,1994,1.98,1.55,50,43.5
11,1995,4,1.55,61,95.599998
11,1996,1.9299999,1.55,59,82.099998
11,1997,3.8299999,1.55,58,98.900002
12,1990,.92000002,.2,13,16.799999
12,1991,.92000002,.2,26,16.799999
12,1992,.92000002,.2,15,37
12,1993,1.29,.2,11,24.799999
12,1994,.77999997,.2,18,26.4
12,1995,1.17,.25,17,11.6
12,1996,1.4299999,.25,28,23.1
12,1997,1.7,.25,20,30.6
13,1990,3.9100001,1.25,80,66
13,1991,2.8499999,1.25,80,70.5
13,1992,3.96,1.25,81,73.5
13,1993,3.45,1.25,111,81
13,1994,3.04,1.25,84,147
13,1995,3.5,1.25,87,69.400002
13,1996,3.6500001,1.25,54,135.5
13,1997,4.7399998,1.25,77,129.60001
14,1990,7.4499998,3,155,135
14,1991,6.3000002,3,123,156.7
14,1992,6.3899999,3,97,121.5
14,1993,5.98,1.8,114,111
14,1994,5.29,1.8,84,97.5
14,1995,5.1999998,1.6,89,130
14,1996,5.0599999,1.4,63,101.8
14,1997,4.8800001,1.4,71,121.6
15,1990,.92000002,.30000001,15,31.5
15,1991,.92000002,.30000001,16,31.5
15,1992,.82999998,.30000001,21,30.299999
15,1993,1.01,.30000001,20,20
15,1994,1.01,.30000001,21,21
15,1995,.97000003,.30000001,17,22.299999
15,1996,.37,.30000001,13,27.9
15,1997,.69,.30000001,16,22.700001
16,1990,1.15,.60000002,35,44
16,1991,2.1199999,.60000002,28,42
16,1992,2.3499999,.60000002,27,132
16,1993,1.84,.60000002,28,31
16,1994,2.21,.60000002,27,42
16,1995,2.3,.60000002,38,23.799999
16,1996,1.79,.60000002,19,22.1
16,1997,1.98,.60000002,28,23.1
