state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch,stabrv,region,reg,fatal,fatal1517,fatal1820,fatal2124,fatal1517n,fatal1820n,fatal2124n,perincK
AL,1982,1.37,14.4,10544.152,50.692039,1.5393795,30.3557,.32828999,19,25.0063,.21157201,7233.8872,0,0,0,839,.00021283601,146,.000037037,99,53,.00025358901,9,.000043061998,99,34,.00044684479,.00015346185,120,.00041379299,32,.000110345,309.43799,.000078498,3942002.3,208999.59,221553.44,290000.06,28516,9.6999998,57.799999,-.02212476,AL,S,S,2.12836,2.5358901,4.4684477,4.1379299,.43061998,1.5346185,1.1034499,10.544152
AL,1983,1.36,13.7,10732.798,52.14703,1.7889907,30.333599,.34340999,19,22.9942,.210768,7836.3477,0,0,0,930,.000234848,154,.000038888898,98,71,.00035148501,8,.000039604001,108,26,.0004928683,.00011865349,124,.000427586,35,.00012069,341.83401,.000086321998,3960008,202000.08,219125.47,290000.16,31032,9.6000004,57.900002,.046558253,AL,S,S,2.34848,3.5148501,4.9286833,4.2758598,.39604002,1.1865349,1.2069,10.732798
AL,1984,1.3200001,11.1,11108.791,54.168087,1.7142856,30.311501,.35924,19,24.042601,.211484,8262.9902,0,0,0,932,.000233643,165,.000041363801,94,49,.000248731,7,.000035533001,103,25,.00047525865,.00011535404,118,.00040972201,34,.000118056,304.87201,.000076427998,3988991.8,196999.97,216724.09,288000.16,32961,7.5,59.500004,.062797837,AL,S,S,2.3364301,2.4873099,4.7525864,4.0972199,.35533002,1.1535405,1.18056,11.108791
AL,1985,1.28,8.8999996,11332.627,55.271137,1.6525424,30.289499,.37579,19.67,23.6339,.21114001,8726.917,0,0,0,882,.000219348,146,.0000363094,98,66,.00033846201,9,.000046154,100,23,.00046652881,.00010730163,114,.000401408,45,.000158451,276.742,.000068824003,4021007.8,194999.73,214349.03,284000.31,35091,7.1999998,60.100002,.027489973,AL,S,S,2.19348,3.38462,4.665288,4.01408,.46154001,1.0730163,1.58451,11.332627
AL,1986,1.23,9.8000002,11661.507,56.514496,1.609907,30.267401,.39311001,21,23.464701,.21340001,8952.8535,0,0,0,1081,.00026691399,172,.000042469099,119,82,.00040196101,10,.00004902,120,23,.00056603772,.00010849057,119,.00045247099,29,.000110266,360.716,.000089066001,4049993.8,203999.89,212000,263000.28,36259,7,60.700001,.032142948,AL,S,S,2.6691399,4.0196099,5.660377,4.5247102,.49020001,1.0849056,1.1026601,11.661507
AL,1987,1.1799999,7.8000002,11944,57.50988,1.5599999,30.2453,.41123,21,23.7924,.215527,9166.3018,0,0,0,1110,.000271859,181,.0000443301,114,94,.00045853699,11,.000053659001,127,31,.00060765998,.00014832499,138,.00053281902,30,.00011583,368.42099,.000090232999,4082999,204999.81,208998.45,258999.77,37426,6.1999998,61.5,.048976373,AL,S,S,2.71859,4.5853701,6.0765996,5.3281903,.53659004,1.4832499,1.1583,11.944
AL,1988,1.17,7.1999998,12368.624,56.83453,1.5014436,30.223301,.43018001,21,23.7924,.218328,9674.3232,0,0,0,1023,.00024939101,139,.000033885899,89,66,.000328358,8,.000039801002,105,24,.00054404,.00012435199,123,.00046768101,25,.000095057003,298.32199,.000072725998,4101992.3,201000.13,193000.52,262999.78,39684,5.5,62.300003,.035391819,AL,S,S,2.4939101,3.2835801,5.4404001,4.6768103,.39801002,1.2435199,.95057005,12.368624
AZ,1982,1.97,9.8999996,12309.069,56.893295,.21479714,3.9589,4.9190998,19,0,.209012,6810.1567,0,1,1,724,.00024991401,131,.0000452192,76,40,.00028368799,7,.000049645001,81,16,.00051797333,.00010231572,96,.000440367,36,.000165138,173.668,.000059948001,2896996.5,140999.98,156378.7,217999.98,19729,9.6999998,57.799999,-.0431819,AZ,W,W,2.49914,2.83688,5.1797333,4.4036698,.49645001,1.0231571,1.6513801,12.30907
AZ,1983,1.9,9.1000004,12693.808,57.553631,.20642203,3.8901,4.8310699,19,0,.20385499,6587.4946,0,1,1,675,.000226738,112,.000037621801,60,40,.00028777,7,.000050359999,83,19,.00052691239,.0001206185,80,.00036529699,17,.000077625999,196.89,.000066137,2977004.3,138999.89,157521.44,218999.89,19611,9.6000004,57.900002,.076205537,AZ,W,W,2.26738,2.8777001,5.269124,3.6529698,.5036,1.206185,.77625996,12.693808
AZ,1984,2.1400001,5,13265.934,60.379021,.29670331,3.8225999,4.7446098,19,0,.20912699,6709.9702,0,1,1,869,.000282878,149,.000048502599,81,51,.00036956501,8,.000057970999,118,34,.00074366998,.0002142778,123,.00055909099,33,.00015000001,212.36099,.000069128,3071995.8,138000.08,158672.53,219999.97,20613,7.5,59.500004,.10621397,AZ,W,W,2.8287799,3.6956501,7.4366999,5.59091,.57971001,2.1427779,1.5000001,13.265934
